setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_participation,avg_abs_exposure_gap,source_file,slippage_model,sqrt_k,cross_border_penalty_bp,commodity_penalty_bp,open_penalty_bp,spread_penalty_mult,spread_penalty_cap_bp,max_slippage_bp,near_limit_threshold_bp,near_limit_capacity_mult,tag_suffix,avg_impact_component_bp,avg_extra_penalty_bp,avg_spread_proxy_bp,near_limit_rate
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,twap_0935_1030,15.0,0.1,0.6964925932479809,0.9283218822505152,2.4877401248441813,-0.1302256133721202,0.325011960037294,13407544.737847712,687.0,0.6215429403202329,0.2794759825327511,0.0014556040756914,0.3391557496360989,0.032023289665211,0.1397379912663755,0.0014556040756914,7.086868686868687,0.0051895665305547,0.0770203655804242,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,twap_0935_1030,20.0,0.1,0.6764523245848822,0.8900213938857966,2.4140411899157823,-0.1313182580566785,0.3136683516813399,13289442.529691482,684.0,0.6213450292397661,0.2807017543859649,0.0014619883040935,0.3333333333333333,0.0321637426900584,0.1403508771929824,0.0014619883040935,9.176829268292684,0.005192916370785,0.0770165659059788,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,vwap_0935_1030,5.0,0.1,0.7249699434013132,0.9840359753431576,2.591979113652526,-0.1287797302675448,0.3412855090206363,13581623.29181118,686.0,0.6107871720116618,0.2769679300291545,0.0014577259475218,0.3294460641399417,0.032069970845481,0.1399416909620991,0.0014577259475218,3.211693548387097,0.0052246655405995,0.0770130330793628,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,vwap_0935_1030,7.0,0.1,0.718423122096007,0.971092098580957,2.5680856638653404,-0.1290972643026661,0.3375282527329912,13542225.970135722,686.0,0.6224489795918368,0.2755102040816326,0.0014577259475218,0.3425655976676385,0.032069970845481,0.1399416909620991,0.0014577259475218,3.975855130784708,0.0052043050561328,0.077000782872855,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,vwap_0935_1030,10.0,0.1,0.7090130755234901,0.9526281522360092,2.5336556686919796,-0.1295727857335321,0.3321441876222608,13485688.489185056,688.0,0.6148255813953488,0.2761627906976744,0.001453488372093,0.3328488372093023,0.0319767441860465,0.1395348837209302,0.001453488372093,5.103413654618474,0.0051808222565977,0.0769939997483602,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,vwap_0935_1030,15.0,0.1,0.6915365935217607,0.9187810912618952,2.4695774744611487,-0.1304841051371033,0.3221983561267356,13381661.646556305,682.0,0.6217008797653959,0.2771260997067448,0.001466275659824,0.3401759530791788,0.032258064516129,0.1407624633431085,0.001466275659824,7.075050709939148,0.0052068867240069,0.0769817140393179,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,vwap_0935_1030,20.0,0.1,0.6715916142951998,0.880851176646158,2.396298101079952,-0.1315770251440643,0.3109329253887334,13264331.909632856,682.0,0.6275659824046921,0.2756598240469208,0.001466275659824,0.3489736070381232,0.032258064516129,0.1407624633431085,0.001466275659824,9.171052631578949,0.0051677515285765,0.0769660003377837,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,30000000.0,open_0935,5.0,0.1,0.432452752292203,0.4905131758936933,1.6784610436126777,-0.1118626686682835,0.1865520111607805,35737900.55033551,865.0,0.8624277456647399,0.176878612716763,0.4959537572254335,0.2023121387283237,0.0254335260115606,0.122543352601156,0.0023121387283236,15.896067415730338,0.0686898852693785,0.2232284057162023,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,30000000.0,open_0935,7.0,0.1,0.4323777547990888,0.4904007966318218,1.6781570525016234,-0.1118673854224836,0.1865136696072256,35736745.736543104,865.0,0.8647398843930636,0.176878612716763,0.4959537572254335,0.2046242774566474,0.0254335260115606,0.122543352601156,0.0023121387283236,16.054775280898877,0.0686894288977878,0.2232255965801319,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,30000000.0,open_0935,10.0,0.1,0.4322614361221987,0.4902267504290676,1.6776895142601096,-0.1118737819256738,0.1864542852677584,35734957.13258967,865.0,0.8670520231213873,0.176878612716763,0.4959537572254335,0.2069364161849711,0.0254335260115606,0.122543352601156,0.0023121387283236,16.292837078651687,0.0686889097756424,0.2232200455736265,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
