setting,execution_mode,roundtrip_cost_bp,initial_cash,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,p95_slippage_bp,avg_participation,p95_participation,avg_abs_exposure_gap,p95_abs_exposure_gap
F2_CAP_MA60,tail_vwap_1430_1455,7.0,1000000.0,0.1554643908771256,0.14625559292274093,0.7987842759469773,-0.37688999712835725,4.440110692002201,5440110.692002201,18488,0.768931198615318,0.11277585460839464,0.24675465166594548,0.4239506707053224,0.026665945478147986,0.006869320640415405,0.0010276936391172653,9.52965920868134,20.0,0.03365243477139993,0.0999502141947435,0.07872190514083656,0.3200806221204289
F2_CAP_MA60,twap_0935_1030,7.0,1000000.0,0.16614299302159283,0.15896259029050563,0.862525101611454,-0.32081989601722505,5.237637274740526,6237637.2747405255,17397,0.71696269471748,0.11731907800195436,0.15606138989480944,0.45306662068172676,0.028338219233201126,0.011553716157958268,0.00028740587457607634,7.3473560823131026,20.0,0.023293908024565168,0.09993467265368935,0.059553008112278774,0.26120144117015337
F2_CAP_MA60,vwap_0935_1030,5.0,1000000.0,0.16875820402059427,0.16197048092541033,0.875608682681411,-0.3183646918728388,5.44151977622067,6441519.77622067,17447,0.7110678053533559,0.11692554593912993,0.15664584169198142,0.4471255803289964,0.028257006935289736,0.011520605261649568,0.000286582220439044,6.757967157785422,20.0,0.023327975372916834,0.09993394478407998,0.05969623014085848,0.2619817541525422
F2_CAP_MA60,vwap_0935_1030,7.0,1000000.0,0.16425332100024354,0.15673653734104387,0.8519643395142902,-0.3226420492013624,5.090588699295512,6090588.6992955115,17478,0.7172445359880993,0.1184346035015448,0.1543654880421101,0.4542281725597894,0.028206888660029752,0.011500171644352901,0.0002860739215013159,7.297507788161994,20.0,0.02306745112046387,0.0999299191374663,0.05927385507998971,0.2596451246819685
F2_CAP_MA60,vwap_0935_1030,10.0,1000000.0,0.15716723654537093,0.14855154766191037,0.814813690688705,-0.3298515958772754,4.57687892737404,5576878.92737404,17413,0.7177396198242693,0.1162349968414403,0.15212772066846608,0.45845058289783497,0.02831218055475794,0.011543099982771492,0.00028714179061620627,8.142017025147833,20.0,0.022726175515748966,0.0999269156989937,0.05861569990908051,0.2592908854600311
F2_CAP_MA60,vwap_0935_1030,15.0,1000000.0,0.14342868326026362,0.13284782607238688,0.7429124923084423,-0.34213128061756315,3.701110546442468,4701110.546442468,17416,0.7169843821773082,0.1189710610932476,0.1484267340376665,0.4587735415709692,0.028307303628847036,0.011598530087276068,0.00028709232889297196,9.665145985401459,20.0,0.022119861941470295,0.09992071532462188,0.0574618116861962,0.25564357498302537
F2_CAP_MA60,vwap_0935_1030,20.0,1000000.0,0.12816652726905126,0.11565981251237001,0.6632955995097841,-0.3544587692174206,2.888742174033931,3888742.174033931,17368,0.7227660064486412,0.12148779364348226,0.14423076923076922,0.4661446338093045,0.028385536619069552,0.011630584983878397,0.0002878857669276831,11.281491676497575,20.0,0.021546176436296083,0.0999145299145299,0.0563057736349235,0.25408510174654564
F2_CAP_MA60,vwap_0935_1030,5.0,3000000.0,0.1403064248461283,0.13001014189980542,0.7388800357624999,-0.32522598620099064,3.5570568823359627,13671170.647007888,18303,0.7185160902584276,0.09812599027481833,0.25099710429984157,0.38075725290935913,0.02693547505873354,0.01109107796536087,0.00032781511227667593,9.027927545889623,20.0,0.03417072258873833,0.09998089132293071,0.08814202990035726,0.35074275022979695
F2_CAP_MA60,vwap_0935_1030,7.0,3000000.0,0.13690983725700973,0.12616339477424354,0.7207051257141681,-0.3323177760531605,3.3682544941716133,13104763.48251484,18331,0.7190006000763733,0.09983088756750859,0.24837706617205826,0.38159402105722545,0.02689433200589166,0.01107413670830833,0.0003273143854672413,9.458699472759227,20.0,0.03389084057789468,0.0999804443020849,0.08757005230948847,0.3509850205786533
F2_CAP_MA60,vwap_0935_1030,10.0,3000000.0,0.13166271885083186,0.12024796699933549,0.6926831445711468,-0.34172859214451023,3.09191081510125,12275732.44530375,18273,0.7204618836534779,0.10069501450227111,0.24621025556832485,0.38526788157390685,0.026979696820445466,0.01110928692606578,0.0003283533081595797,10.132872877746,20.0,0.03362208886190404,0.09997970834754559,0.08663360974748648,0.34796421944240713
F2_CAP_MA60,vwap_0935_1030,15.0,3000000.0,0.1215302962951143,0.10891811596597978,0.6387501986427797,-0.3648017550938669,2.6069947661430892,10820984.298429267,18216,0.7199714536671058,0.1015590689503733,0.24099692577953447,0.3891084760649978,0.027064119455423804,0.011144049187527448,0.00032938076416337287,11.322131247708665,20.0,0.03303112898002621,0.09997814326689371,0.08524441222495636,0.3421501673121716
F2_CAP_MA60,vwap_0935_1030,20.0,3000000.0,0.1093243520470135,0.09542872747923226,0.5740351941794434,-0.42541949694581804,2.0987656906916015,9296297.072074804,18136,0.7201698279664756,0.10062858403176003,0.23566387295985886,0.39446404940449936,0.027183502426113806,0.01119320688134098,0.0003308337009263344,12.609435350377046,20.0,0.03230782795278907,0.0999765471024853,0.08375550478854998,0.34054136394569673
F2_CAP_MA60,vwap_0935_1030,5.0,5000000.0,0.125578652510624,0.11380330689184626,0.666343147123381,-0.366788567125105,2.8092026922827498,19046013.46141375,18783,0.726295054038226,0.09114624926795506,0.2968109460682532,0.35175424586061865,0.02624713836980248,0.011340041526912634,0.00031943778949049674,10.047214574424462,20.0,0.0391912935191757,0.09998822064185564,0.10644040118478372,0.4000101206677928
F2_CAP_MA60,vwap_0935_1030,7.0,5000000.0,0.12297654516939305,0.1108909912384437,0.6522277085477572,-0.3774934565645435,2.6874372233956865,18437186.116978433,18757,0.7278349416217945,0.08972650210588047,0.2954630271365357,0.3560803966519166,0.02628352081889428,0.011355760516073999,0.00031988057791757743,10.420288157432353,20.0,0.03894702907814404,0.09998799843945262,0.10583758291924758,0.399146838319463
F2_CAP_MA60,vwap_0935_1030,10.0,5000000.0,0.11870922555839915,0.10613285236329273,0.6291301292249495,-0.3993991600858495,2.496172519429051,17480862.597145256,18740,0.7297225186766275,0.09183564567769477,0.29263607257203844,0.3573639274279616,0.02630736392742796,0.011366061899679829,0.00032017075773745996,11.018156178388859,20.0,0.03871161295842368,0.09998756259524881,0.10492005127855741,0.39749862359001376
F2_CAP_MA60,vwap_0935_1030,15.0,5000000.0,0.11038438119981907,0.0969181307314273,0.5843128402985069,-0.4390587073059128,2.151454143259786,15757270.71629893,18691,0.7291209673104703,0.09287892568615912,0.28810657535712375,0.36038735220159435,0.026376330854421915,0.010860842116526671,0.00032101011181852226,12.06664700678266,20.0,0.03816305744072378,0.09998670515866154,0.10340060848251963,0.3947628760142054
F2_CAP_MA60,vwap_0935_1030,20.0,5000000.0,0.09992998973234066,0.08547364102473454,0.5284426976818198,-0.4839862169112329,1.7668782919312611,13834391.459656306,18613,0.7293289636275722,0.09283833879546553,0.2835652500940203,0.3645838929780261,0.026486864019771128,0.010906355772846935,0.0003223553430398109,13.236482084690554,20.0,0.03754904101283099,0.09998588633955095,0.10155768047691094,0.3913868448409658
